invoice_num;salesman_id;market;quantity;value;customer;fv_date
1002104;14;US;8000;10800.5;BB212;19.01.2024
1002201;14;US;5500;7975.8;CA108;23.01.2024
1002285;14;US;10000;13500.4;CA058;26.02.2024
1002305;14;US;12500;19375.7;BB028;01.02.2024
1002388;14;US;6000;10500.8;BB301;15.02.2024
1002420;14;US;3500;5775.5;CA058;22.02.2024
1002438;14;US;8200;15170.6;CA042;28.02.2024
1002459;14;US;11800;25370.7;BB101;12.03.2024
1002488;14;US;7500;17625.5;BB055;17.03.2024
1002501;14;US;6500;14625.8;BB078;24.03.2024
